Estampa_Tiempo,DiaHora1,DiaHora2,Agregacion,Id_Empresa,Edificio,Id_Medidor,Id_Sistema,Tension_Fase_L1,Corriente_L1,Potencia_Real_L1,Potencia_Reactiva_L1,Factor_de_Potencia_L1_P,Factor_de_Potencia_L1_N,FP_IND_L1,Tension_Fase_L2,Corriente_L2,Potencia_Real_L2,Potencia_Reactiva_L2,Factor_de_Potencia_L2_P,Factor_de_Potencia_L2_N,FP_IND_L2,Tension_Fase_L3,Corriente_L3,Desbalance_Corriente,Potencia_Real_L3,Potencia_Reactiva_L3,Factor_de_Potencia_L3_P,Factor_de_Potencia_L3_N,FP_IND_L3,Potencia_Activa_III,Potencia_Inductiva_III,Cos_Phi_III_P,Cos_Phi_III_N,Potencia_Capacitiva_III,Factor_de_Potencia_III_P,Factor_de_Potencia_III_N,FP_IND_III,Frecuencia,Tension_Linea_L1_L2,Tension_Linea_L2_L3,Tension_Linea_L3_L1,Tension_Linea_LL_Promedio,THD_V_L1,THD_V_L2,THD_V_L3,THD_A_L1,THD_A_L2,THD_A_L3,Potencia_Aparente_III,Corriente_trifasica_media,Corriente_de_Neutro,Potencia_Aparente_L1,Potencia_Aparente_L2,Potencia_Aparente_L3,Potencia_Reactiva_III,THD_V_L1_L2,THD_V_L2_L3,THD_V_L3_L1,Energia_Activa_Export,Energia_Activa_Import,Energia_Reactiva_Inductiva_Import,Energia_Reactiva_Capacitiva_Export,Energia_Reactiva_Inductiva_Export,Energia_Reactiva_Capacitiva_Import,Energia_Reactiva_Inductiva,Energia_Reactiva_Capacitiva,Energia_Reactiva_Import,Energia_Reactiva_Export,Energia_Aparente,Desconexiones,PST_L1,PST_L2,PST_L3,PLT_L1,PLT_L2,PLT_L3,Desbalance_Tension,Importe
2025-05-12 09:01,2025-05-12 09:01,2025-05-12 09:01,0,1,1,4,3,280.748,42.2649,9056.11,-7593.43,0,0,-0.762813,281.896,35.656,8410.31,-5384.83,0,0,-0.83674,281.323,34.2616,13.0253,6793.89,-6694.04,0,0,-0.704863,24255.6,0,0,0,0,0,0,-0.777791,59.9854,487.279,488.345,486.167,487.264,0.0163725,0.0107001,0.014653,0.100039,0.102493,0.115891,31185.2,37.3942,0.0403001,11865.8,10051.3,9638.58,-19672.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.204201,0
2025-05-12 09:02,2025-05-12 09:02,2025-05-12 09:02,0,1,1,4,5,278.586,21.4187,4976.02,3174.7,0,0,0.833007,280.157,17.3612,4622.19,1092.41,0,0,0.950315,279.216,26.3625,21.407,7106.48,1268.97,0,0,0.965444,16699.2,0,0,0,0,0,0,0.954004,60.0275,483.962,484.981,482.439,483.794,0.0163384,0.010239,0.0151877,0.160692,0.175079,0.176955,17504.3,21.7141,14.8379,5966.96,4863.85,7360.84,5536.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.299768,0
2025-05-12 09:02,2025-05-12 09:02,2025-05-12 09:02,0,1,1,4,2,128.486,86.1809,10784,-2376.97,0,0,-0.971867,128.761,88.2863,11100.6,-2329.91,0,0,-0.976495,129.367,86.6816,1.4207,10803.6,-2773.64,0,0,-0.963424,32665.8,0,0,0,0,0,0,-0.974197,59.9923,222.387,223.915,223.333,223.212,0.0157054,0.0138673,0.0102002,0.0911432,0.0549384,0.0921489,33531,87.0496,9.44583,11073.1,11367.8,11213.8,-7480.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.384905,0
2025-05-12 09:02,2025-05-12 09:02,2025-05-12 09:02,0,1,1,4,4,278.589,12.6141,3336.06,867.138,0,0,0.947294,280.253,12.8988,3414.81,923.565,0,0,0.944644,279.342,12.4809,1.84923,3294,907.15,0,0,0.944808,10037.7,0,0,0,0,0,0,0.967092,59.999,484.024,485.33,482.422,483.925,0.0165406,0.0107858,0.0153293,0.186565,0.200387,0.188868,10379.3,12.6646,0,3514.15,3614.92,3486.42,2697.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.30717,0
2025-05-12 09:02,2025-05-12 09:02,2025-05-12 09:02,0,1,1,4,5,278.68,32.8235,8416.19,3774.96,0,0,0.919916,280.406,29.1133,7912.1,1525.41,0,0,0.969198,279.482,38.3321,14.6878,10449.9,1949.06,0,0,0.975435,26776.7,0,0,0,0,0,0,0.984972,59.9965,484.204,485.525,482.704,484.144,0.0163505,0.010371,0.015329,0.144949,0.150715,0.150913,27185.3,33.4229,15.0474,9147.24,8163.55,10713.1,7249.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.316003,0
2025-05-12 09:02,2025-05-12 09:02,2025-05-12 09:02,0,1,1,4,3,280.562,42.232,9056.18,-7492.01,0,0,-0.763058,281.98,35.641,8412.16,-5337.76,0,0,-0.835109,281.269,34.2424,13.0051,6795.43,-6658.11,0,0,-0.705044,24257.5,0,0,0,0,0,0,-0.777465,59.9939,487.195,488.486,485.839,487.174,0.0162337,0.0105547,0.0145844,0.0996342,0.102219,0.116866,31170.4,37.3718,0.0418117,11848.7,10050,9631.32,-19487.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.252185,0
2025-05-12 09:03,2025-05-12 09:03,2025-05-12 09:03,0,1,1,4,2,128.566,94.5008,11872.2,-2353.24,0,0,-0.978708,128.833,95.8195,12090,-2492.66,0,0,-0.979366,129.428,93.0567,1.48452,11700.9,-2726,0,0,-0.971502,35681.8,0,0,0,0,0,0,-0.979716,60.0233,222.523,224.021,223.459,223.334,0.0158567,0.0139852,0.0103589,0.0839268,0.0543899,0.0863494,36420.5,94.459,9.00672,12149.6,12344.7,12044.1,-7571.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.376422,0
2025-05-12 09:03,2025-05-12 09:03,2025-05-12 09:03,0,1,1,4,4,278.597,12.6562,3336.05,888.378,0,0,0.94659,280.191,12.9601,3428.84,947.003,0,0,0.944248,279.358,12.5278,1.92957,3304.15,926.027,0,0,0.944109,10070.7,0,0,0,0,0,0,0.965877,60.0087,483.953,485.272,482.487,483.904,0.0167442,0.0108346,0.0152485,0.185936,0.198541,0.188678,10426.4,12.7147,0,3525.99,3631.29,3499.75,2761.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.289488,0
2025-05-12 09:03,2025-05-12 09:03,2025-05-12 09:03,0,1,1,4,5,278.704,32.4356,8352.15,3076.86,0,0,0.92425,280.405,29.0419,7978.18,892.117,0,0,0.979702,279.494,38.5322,15.5855,10550.3,1103.6,0,0,0.979648,26883.7,0,0,0,0,0,0,0.979438,60.0164,484.227,485.52,482.749,484.165,0.0164291,0.0102871,0.0152348,0.120794,0.13224,0.137969,27448,33.3366,14.9361,9039.92,8143.48,10769.5,5072.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.311438,0
2025-05-12 09:03,2025-05-12 09:03,2025-05-12 09:03,0,1,1,4,3,280.58,42.3106,9056.16,-7454.38,0,0,-0.762426,281.919,35.6919,8392.57,-5274.98,0,0,-0.834068,281.259,34.2085,13.1189,6763.85,-6580.05,0,0,-0.702998,24207.6,0,0,0,0,0,0,-0.776096,60.0172,487.151,488.394,485.884,487.143,0.0163312,0.0106894,0.0146122,0.101092,0.10233,0.119212,31191.5,37.4037,0.0418472,11871.5,10062.2,9621.43,-19309.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.239028,0
